,"An ""in-place"" edit component to edit any text",ChenilleKit,1,,44,1,9,InPlaceEditor,2,0,34
,"An ""in-place"" checkbox component",ChenilleKit,1,,45,1,9,InPlaceCheckbox,2,0,34
,MaskFormat is used to format strings. The behavior of a MaskFormat is controlled by a String mask that specifies the valid characters,ChenilleKit,1,,46,1,9,MaskFormat,2,0,34
,???,ChenilleKit,1,,47,1,9,OnEvent,2,0,34
,A copy of Tapestry's GridPager with modifications,ChenilleKit,1,,48,1,9,Pager,2,0,34
,"Provides a paged list similar to the grid component, but uses a ul element instead of a table by default. The list and its items are configurable via parameters.",ChenilleKit,1,,49,1,9,PagedLoop,2,0,34
,"Provides the ability to associate a RadioGroup and its subordinate Radio fields with a set of values displayed as a rating scale. This is typified by the ""star field"" where grayed stars represent the choices and highlighted stars represent the chosen value and all values up to the chosen value from left to right",ChenilleKit,1,,50,1,9,RatingField,2,0,34
,Displays a colored container with rounded corners,ChenilleKit,1,,51,1,9,RoundCornerContainer,2,0,34
,a expandable/pinable side panel,ChenilleKit,1,,52,1,9,SidePanel,2,0,34
,Creates a slide show from a generic group of HTML elements on the client side,ChenilleKit,1,,53,1,9,SlideShow,2,0,34
,Displays a panel that can open/close its content,ChenilleKit,1,,54,1,9,SlidingPanel,2,0,34
,Simple tab-controlled panel component. This component looks in the container message resource for an entry like label-panelid for inserting as panel title. If key not found the panel id is inserted instead.,ChenilleKit,1,,55,1,9,TabSet,2,0,34
,Converts a image asset into a thumbnail,ChenilleKit,1,,56,1,9,Thumbnail,2,0,34
,Shows a tool tip if mouse hovers over the content,ChenilleKit,1,,57,1,9,Tooltip,2,0,34
,"Shorten text, add suffix",ChenilleKit,1,,58,1,9,TrimmedString,2,0,34
,A slider component that doesn't need to be emmbedded in a form,ChenilleKit,1,,59,1,9,Slider,2,0,34
,Creates a window based on JavaScript window library,ChenilleKit,1,,60,1,9,Window,2,0,34
,A CAPTCHA (challenge-response test used in computing to ensure that the response is not generated by a computer) based on Kaptcha. Requires the ChenilleKit Image Library in your CLASSPATH.,http://www.chenillekit.org/chenillekit-image/kaptcha.html,1,,61,1,9,Kaptcha,2,0,34
,Add breadcrumb navigation using annotations on page classes,https://github.com/argoyle/tapestry-breadcrumbs,1,,62,,,Breadcrumbs,2,0,34
,Expanding/collapsing accordion-style menu,http://equanda.org/equanda-tapestry5/accordion.html,1,,63,6,10,Accordion,2,0,34
,"Tab menu, cookie-based persistence",http://equanda.org/equanda-tapestry5/tabs.html,1,,64,6,10,Tabs,2,0,34
,"Tab menu, session-based persistence",http://equanda.org/equanda-tapestry5/tabs.html,1,,65,6,10,MemTabs,2,0,34
,Support for keyboard navigation of forms,http://equanda.org/equanda-tapestry5/formtraversal.html,1,,66,6,10,FormTraversla,2,0,34
,"Shorten text, add suffix",http://equanda.org/equanda-tapestry5/truncate.html,1,,67,6,10,Truncate,2,0,34
,"Same as LinkSubmit, except works for versions before Tapestry 5.2",http://equanda.org/equanda-tapestry5/formactionlink.html,1,,68,6,10,FormActionLink,2,0,34
